INDUSTRY_ID,INDUSTRY_NAME,DESCRIPTION,CREATED_AT
'IND01','Công nghệ thông tin','Ngành công nghệ thông tin và phần mềm.','2025-01-01 10:00:00',
'IND02','Ngân hàng','Ngành dịch vụ tài chính và ngân hàng.','2025-01-02 11:00:00',
'IND03','Sản xuất','Ngành sản xuất và công nghiệp.','2025-01-03 12:00:00',
'IND04','Bất động sản','Ngành quản lý và phát triển bất động sản.','2025-01-04 13:00:00',
'IND05','Y tế','Ngành dịch vụ y tế và chăm sóc sức khỏe.','2025-01-05 14:00:00',
'IND07','Giáo dục','Ngành dịch vụ giáo dục và đào tạo.','2025-01-06 15:00:00',
'IND07','Du lịch','Ngành dịch vụ du lịch và lữ hành.','2025-01-07 16:00:00',
'IND08','Thương mại điện tử','Ngành thương mại điện tử và bán lẻ trực tuyến.','2025-01-08 17:00:00',
'IND09','Năng lượng','Ngành năng lượng và tiện ích.','2025-01-09 18:00:00',
'IND10','Giao thông vận tải','Ngành dịch vụ vận tải và logistics.','2025-01-10 19:00:00',
'IND11','Thực phẩm và Đồ uống','Ngành sản xuất và dịch vụ thực phẩm và đồ uống.','2025-01-11 20:00:00',
'IND12','Thời trang','Ngành thiết kế và sản xuất quần áo và phụ kiện thời trang.','2025-01-12 21:00:00',
'IND13','Truyền thông','Ngành dịch vụ truyền thông và giải trí.','2025-01-13 22:00:00',
'IND14','Dược phẩm','Ngành sản xuất và dịch vụ dược phẩm.','2025-01-14 23:00:00',
'IND15','Công nghiệp ô tô','Ngành sản xuất và dịch vụ ô tô.','2025-01-15 08:00:00',
'IND16','Xây dựng','Ngành xây dựng và phát triển hạ tầng.','2025-01-16 09:00:00',
'IND17','Điện tử','Ngành sản xuất và dịch vụ thiết bị điện tử.','2025-01-17 10:00:00',
'IND18','Dịch vụ tư vấn','Ngành dịch vụ tư vấn chuyên nghiệp.','2025-01-18 11:00:00',
'IND19','Vận tải hàng không','Ngành dịch vụ vận tải hàng không.','2025-01-19 12:00:00',
'IND20','Dịch vụ tài chính','Ngành dịch vụ tài chính và bảo hiểm.','2025-01-20 13:00:00',
