"Loan_ID","Customer_ID","Collateral_ID","Right_ID","Loan_Type","Interest_Rate","Loan_Term","Disbursement_Date","Maturity_Date","Disbursement_Amount","Outstanding_Balance","Industry_Code","Loan_Status","Payment_Schedule","Penalty_Rate","Penalty_Spread","Opening_Branch","Created_At","Update_At"
"LDPD00000000001","CUS0000000001","COL000000000272","COLR0000000000000001","Unsecured",6.17,"001M","2024-04-20","2024-09-11",249827706,0,"IND04","Repaid","Bullet Payment",\N,\N,"VN00000018","2024-04-20 07:24:41","2024-04-20 07:24:41"
"LD0000000000002","CUS0000000003","COL719165297156","COLR5920351530043758","Secured",3.06,"014D","2023-09-28","2024-02-16",349817734,349817734,"IND17","Active","Annual",\N,\N,"VN00000001","2023-09-28 05:12:08","2023-09-28 05:12:08"
"LDPD00000000003","CUS0000000004","COL278887849408","COLR1735605099034963","Unsecured",7.84,"023M","2023-08-25","2024-04-25",336696312,0,"IND15","Repaid","Annual",\N,\N,"VN00000009","2023-08-25 16:38:19","2023-08-25 16:38:19"
"LD0000000000004","CUS0000000005","COL084098159178","COLR8312657459108216","Overdraft",6.75,"006M","2024-05-29","2024-11-17",266944844,266944844,"IND07","Active","Quarterly",\N,\N,"VN00000004","2024-05-29 23:16:23","2024-05-29 23:16:23"
"LD0000000000005","CUS0000000006","COL255625114618","COLR5199802188552598","Secured",4.69,"004W","2023-11-30","2024-11-03",384027113,384027113,"IND02","Active","Bullet Payment",\N,\N,"VN00000015","2023-11-30 18:58:50","2023-11-30 18:58:50"
"LDPD00000000006","CUS0000000007","COL029474865221","COLR2958020963744282","Unsecured",7.25,"013D","2023-11-19","2024-11-04",764130526,0,"IND12","Repaid","Annual",\N,\N,"VN00000007","2023-11-19 02:04:45","2023-11-19 02:04:45"
"LDOD00000000007","CUS0000000008","COL522004761952","COLR8982653926668068","Unsecured",5.99,"002M","2023-11-10","2024-05-06",185675980,109788257,"IND04","Overdue","Semi-Annual",2.85,0.67,"VN00000012","2023-11-10 15:59:47","2023-11-10 15:59:47"
"LD0000000000008","CUS0000000009","COL823839550118","COLR7193838381423763","Secured",4.34,"012D","2023-10-09","2024-10-04",176667861,176667861,"IND20","Active","Bullet Payment",\N,\N,"VN00000006","2023-10-09 04:06:33","2023-10-09 04:06:33"
"LDPD00000000009","CUS0000000010","COL235508543397","COLR2412280479994198","Overdraft",6.9,"008D","2024-05-27","2024-11-11",787194506,0,"IND18","Repaid","Monthly",\N,\N,"VN00000011","2024-05-27 23:55:51","2024-05-27 23:55:51"
"LDOD00000000010","CUS0000000011","COL000000000076","COLR0000000000000010","Overdraft",8.31,"002D","2023-09-24","2024-04-02",530747414,455802664,"IND07","Overdue","Annual",8.78,0.38,"VN00000016","2023-09-24 18:50:45","2023-09-24 18:50:45"
