Partner_Code,Partner_Name,Contact_Info,Bank_Details
PRT0000001,Partner A,"contact0@partner.com, +1-604-555-1000","Bank0"
PRT0000002,Partner B,"contact1@partner.com, +1-604-555-1001","Bank1"
PRT0000003,Partner C,"contact2@partner.com, +1-604-555-1002","Bank2"
PRT0000004,Partner D,"contact3@partner.com, +1-604-555-1003","Bank3"
PRT0000005,Partner E,"contact4@partner.com, +1-604-555-1004","Bank4"
PRT0000006,Partner F,"contact5@partner.com, +1-604-555-1005","Bank5"
PRT0000007,Partner G,"contact6@partner.com, +1-604-555-1006","Bank6"
PRT0000008,Partner H,"contact7@partner.com, +1-604-555-1007","Bank7"
PRT0000009,Partner I,"contact8@partner.com, +1-604-555-1008","Bank8"
PRT0000010,Partner J,"contact9@partner.com, +1-604-555-1009","Bank9"
PRT0000011,Partner K,"contact10@partner.com, +1-604-555-1010","Bank10"
PRT0000012,Partner L,"contact11@partner.com, +1-604-555-1011","Bank11"
PRT0000013,Partner M,"contact12@partner.com, +1-604-555-1012","Bank12"
PRT0000014,Partner N,"contact13@partner.com, +1-604-555-1013","Bank13"
PRT0000015,Partner O,"contact14@partner.com, +1-604-555-1014","Bank14"
PRT0000016,Partner P,"contact15@partner.com, +1-604-555-1015","Bank15"
PRT0000017,Partner Q,"contact16@partner.com, +1-604-555-1016","Bank16"
PRT0000018,Partner R,"contact17@partner.com, +1-604-555-1017","Bank17"
PRT0000019,Partner S,"contact18@partner.com, +1-604-555-1018","Bank18"
PRT0000020,Partner T,"contact19@partner.com, +1-604-555-1019","Bank19"
